dataset,\rot{90}{Llama-3.1-70B},\rot{90}{Llama-3.1-8B},\rot{90}{Llama-3.2-1B},\rot{90}{Llama-3.2-3B},\rot{90}{Mistral-Small-24B-Base-2501},\rot{90}{Qwen2.5-0.5B},\rot{90}{Qwen2.5-1.5B},\rot{90}{Qwen2.5-14B},\rot{90}{Qwen2.5-32B},\rot{90}{Qwen2.5-3B},\rot{90}{Qwen2.5-72B},\rot{90}{Qwen2.5-7B},\rot{90}{aya-23-35B},\rot{90}{aya-23-8B},\rot{90}{aya-expanse-32b},\rot{90}{aya-expanse-8b},\rot{90}{bloom-1b1},\rot{90}{bloom-3b},\rot{90}{bloom-560m},\rot{90}{bloom-7b1},\rot{90}{bloomz-7b1},\rot{90}{emma-500-llama2-7b},\rot{90}{phi-4}
average,5614.1,5013.8,4625.6,4911.0,5224.0,4196.2,4197.7,5445.5,5559.5,4592.5,5692.8,4977.4,5817.6,5209.8,5628.7,5378.3,3831.5,4303.8,3809.7,4381.1,4285.5,5128.3,5157.4
deu.rst.pcc,4107.7,3592.3,3107.7,3353.8,3961.5,2476.9,2423.1,3630.8,3753.8,2661.5,4138.5,3053.8,4330.8,3938.5,3830.8,3876.9,2315.4,2784.6,1938.5,2246.2,2307.7,3623.1,3523.1
eng.dep.covdtb,6184.1,5635.7,5470.2,5693.0,5794.3,5109.0,4920.3,6087.4,6164.0,5186.4,6286.9,5564.6,6586.2,5850.7,6246.7,6054.9,4985.3,5379.7,5017.0,5377.4,5469.5,5660.5,5815.9
eng.dep.scidtb,7176.3,6322.3,5949.8,6269.0,6395.6,5440.1,5441.1,6624.8,6682.4,5777.1,6729.5,6051.3,7238.1,6392.5,6945.1,6632.1,5448.5,5910.0,5495.6,5876.5,5894.3,6423.9,6389.3
eng.pdtb.pdtb,6737.3,6158.6,5667.7,6058.5,6379.3,5134.2,5167.0,6561.8,6713.3,5851.1,6839.2,6152.4,6877.3,6534.3,6793.1,6525.5,4940.2,5615.4,4936.6,5705.8,5663.3,6204.7,6342.0
eng.pdtb.tedm,4894.6,5321.9,4900.3,4706.6,5247.9,4376.1,4495.7,5230.8,5572.6,4963.0,5304.8,5265.0,5185.2,5817.7,5464.4,5686.6,4005.7,4643.9,4558.4,4695.2,4638.2,5333.3,5247.9
eng.rst.gum,5405.0,4744.1,4386.8,4592.6,5054.0,4089.3,4080.8,5440.0,5452.4,4536.7,5628.0,4845.0,5564.3,4967.8,5554.2,5279.2,4091.7,4558.4,4045.8,4654.0,4577.9,4927.4,5019.0
eng.rst.rstdt,5601.9,5166.6,5120.2,5174.0,5471.9,4861.3,4762.9,5759.6,5746.6,5109.0,5652.0,5366.1,5762.4,5326.2,5588.9,5520.2,4811.1,5167.5,4667.3,5097.9,5045.0,5009.7,5509.0
eng.sdrt.stac,4804.0,4402.6,4158.9,4390.7,4468.9,4006.6,4173.5,4630.5,4694.0,4268.9,4860.9,4204.0,4913.9,4536.4,4770.9,4519.2,3992.1,4145.7,3872.8,4158.9,4164.2,4312.6,4556.3
eus.rst.ert,4035.4,2911.5,2740.4,3147.5,3572.3,2286.1,2070.8,3660.8,3675.5,2410.0,3837.8,2958.7,3926.3,2997.1,3651.9,3206.5,2716.8,2944.0,2569.3,3017.7,2944.0,3424.8,3421.8
fas.rst.prstc,4915.5,4378.4,4307.4,4685.8,4706.1,3668.9,3962.8,4942.6,4902.0,4314.2,5192.6,4682.4,4932.4,4885.1,4952.7,4817.6,3773.6,4020.3,3361.5,4037.2,3864.9,4736.5,4608.1
fra.sdrt.annodis,4844.8,4329.6,4105.6,4246.4,4569.6,4147.2,4188.8,5337.6,5286.4,4092.8,5120.0,4710.4,5068.8,4432.0,4761.6,4764.8,3782.4,4236.8,3926.4,4310.4,4278.4,4320.0,4918.4
